"","y1","y2","y3","conc","ABS","smp","Tests"
"239","0.51399689","0.5397387","0.5265534",NA,"0.971","Positive Control","Aug18"
"240","0.84888543","0.8913990","0.8696229",NA,"1.818","PIB F","Aug18"
"241","0.24546397","0.2577572","0.2514604","5.00","0.473","Standard 5","Aug18"
"242","0.41446345","0.4352205","0.4245884","2.00","0.888","Standard 4","Aug18"
"243","0.49274235","0.5174197","0.5047796","1.00","0.947","Standard 3","Aug18"
"244","0.63089684","0.6624932","0.6463091","0.40","1.235","Standard 2","Aug18"
"245","0.87998963","0.9240610","0.9014870","0.15","1.738","Standard 1","Aug18"
"246","0.97615345","1.0250408","1.0000000","0.00","1.837","Standard 0","Aug18"
"247","0.51399689","0.5397387","0.5265534",NA,"1.012","Positive Control","Aug18"
"248","0.84888543","0.8913990","0.8696229",NA,"1.457","PIB F","Aug18"
"249","0.27916019","0.2931410","0.2859798",NA,"0.547","PIB R","Aug18"
"250","0.94738206","0.9948285","0.9705258",NA,"1.775","LEU F","Aug18"
"251","0.57879730","0.6077844","0.5929368",NA,"1.104","LEU R","Aug18"
"252","0.95749093","1.0054437","0.9808816",NA,"1.813","KI F","Aug18"
"253","0.82970451","0.8712575","0.8499734",NA,"1.594","KI R","Aug18"
"254","0.94427164","0.9915623","0.9673394",NA,"1.732","MH F","Aug18"
"255","0.77449456","0.8132825","0.7934148",NA,"1.437","MH R","Aug18"
"256","0.89113530","0.9357648","0.9129049",NA,"1.645","NOR F","Aug18"
"257","0.27916019","0.2931410","0.2859798",NA,"0.530","PIB R","Aug18"
"258","0.94738206","0.9948285","0.9705258",NA,"1.880","LEU F","Aug18"
"259","0.57879730","0.6077844","0.5929368",NA,"1.129","LEU R","Aug18"
"260","0.95749093","1.0054437","0.9808816",NA,"1.881","KI F","Aug18"
"261","0.82970451","0.8712575","0.8499734",NA,"1.607","KI R","Aug18"
"262","0.94427164","0.9915623","0.9673394",NA,"1.911","MH F","Aug18"
"263","0.77449456","0.8132825","0.7934148",NA,"1.551","MH R","Aug18"
"264","0.89113530","0.9357648","0.9129049",NA,"1.793","NOR F","Aug18"
"265","0.79004666","0.8296135","0.8093468",NA,"1.673","NOR Low R","Aug18"
"266","0.17703473","0.1859009","0.1813595",NA,"0.344","NOR Up R","Aug18"
"267","0.36988077","0.3884050","0.3789166",NA,"0.734","NOR Up R x10","Aug18"
"268","0.96267496","1.0108873","0.9861922",NA,"1.817","Avon 1","Aug18"
"269","0.19440124","0.2041372","0.1991503",NA,"0.391","CC039","Aug18"
"270","0.99870399","1.0487207","1.0231014",NA,"1.879","CC040","Aug18"
"271","0.09979264","0.1047904","0.1022305",NA,"0.210","CC041","Aug18"
"272","0.67729393","0.7112139","0.6938396",NA,"1.326","CC042","Aug18"
"273","0.79004666","0.8296135","0.8093468",NA,"1.375","NOR Low R","Aug18"
"274","0.17703473","0.1859009","0.1813595",NA,"0.339","NOR Up R","Aug18"
"275","0.36988077","0.3884050","0.3789166",NA,"0.693","NOR Up R x10","Aug18"
"276","0.96267496","1.0108873","0.9861922",NA,"1.897","Avon 1","Aug18"
"277","0.19440124","0.2041372","0.1991503",NA,"0.359","CC039","Aug18"
"278","0.99870399","1.0487207","1.0231014",NA,"1.974","CC040","Aug18"
"279","0.09979264","0.1047904","0.1022305",NA,"0.175","CC041","Aug18"
"280","0.67729393","0.7112139","0.6938396",NA,"1.287","CC042","Aug18"
"281","0.49015034","0.5146979","0.5021243",NA,"0.950","CC043","Aug18"
"282","0.36910316","0.3875885","0.3781200",NA,"0.661","CC044","Aug18"
"283","0.12960083","0.1360915","0.1327669",NA,"0.254","CC045","Aug18"
"284","0.96837740","1.0168753","0.9920340",NA,"1.768","Avon 2","Aug18"
"285","0.90616900","0.9515514","0.9283059",NA,"1.812","Avon 3","Aug18"
"286","0.85873510","0.9017420","0.8797132",NA,"1.585","Avon 4","Aug18"
"287","0.89294971","0.9376701","0.9147637",NA,"1.710","Avon 5","Aug18"
"288","0.84784863","0.8903103","0.8685608",NA,"1.683","Avon 6","Aug18"
"289","0.49015034","0.5146979","0.5021243",NA,"0.941","CC043","Aug18"
"290","0.36910316","0.3875885","0.3781200",NA,"0.763","CC044","Aug18"
"291","0.12960083","0.1360915","0.1327669",NA,"0.246","CC045","Aug18"
"292","0.96837740","1.0168753","0.9920340",NA,"1.968","Avon 2","Aug18"
"293","0.90616900","0.9515514","0.9283059",NA,"1.684","Avon 3","Aug18"
"294","0.85873510","0.9017420","0.8797132",NA,"1.728","Avon 4","Aug18"
"295","0.89294971","0.9376701","0.9147637",NA,"1.735","Avon 5","Aug18"
"296","0.84784863","0.8903103","0.8685608",NA,"1.588","Avon 6","Aug18"
"297","0.78019699","0.8192705","0.7992565",NA,"1.550","Avon 7","Aug18"
"298","0.89968896","0.9447469","0.9216676",NA,"1.717","Avon 8","Aug18"
"299","0.90824261","0.9537289","0.9304302",NA,"1.772","Avon 9","Aug18"
"300","0.87973043","0.9237888","0.9012215",NA,"1.751","Avon 10","Aug18"
"301","0.84681182","0.8892216","0.8674987",NA,"1.608","Avon 11","Aug18"
"302","0.83514774","0.8769733","0.8555497",NA,"1.613","Avon 12","Aug18"
"303","0.76516330","0.8034839","0.7838555",NA,"1.475","Avon 13","Aug18"
"304","0.79652670","0.8364181","0.8159851",NA,"1.498","Avon 14","Aug18"
"305","0.78019699","0.8192705","0.7992565",NA,"1.460","Avon 7","Aug18"
"306","0.89968896","0.9447469","0.9216676",NA,"1.754","Avon 8","Aug18"
"307","0.90824261","0.9537289","0.9304302",NA,"1.732","Avon 9","Aug18"
"308","0.87973043","0.9237888","0.9012215",NA,"1.643","Avon 10","Aug18"
"309","0.84681182","0.8892216","0.8674987",NA,"1.659","Avon 11","Aug18"
"310","0.83514774","0.8769733","0.8555497",NA,"1.609","Avon 12","Aug18"
"311","0.76516330","0.8034839","0.7838555",NA,"1.477","Avon 13","Aug18"
"312","0.79652670","0.8364181","0.8159851",NA,"1.575","Avon 14","Aug18"
"313","0.83359253","0.8753402","0.8539565",NA,"1.646","Avon 15","Aug18"
"314","0.90254018","0.9477409","0.9245884",NA,"1.869","Avon 19","Aug18"
"315","0.91394505","0.9597169","0.9362719",NA,"1.797","Avon 20","Aug18"
"316","0.89139450","0.9360370","0.9131705",NA,"1.760","Avon 21","Aug18"
"317","0.81415241","0.8549265","0.8340414",NA,"1.580","Avon 22","Aug18"
"318","0.88387766","0.9281437","0.9054700",NA,"1.683","Avon 23","Aug18"
"319","0.84655262","0.8889494","0.8672331",NA,"1.633","Avon 24","Aug18"
"320","0.83359253","0.8753402","0.8539565",NA,"1.570","Avon 15","Aug18"
"321","0.90254018","0.9477409","0.9245884",NA,"1.613","Avon 19","Aug18"
"322","0.91394505","0.9597169","0.9362719",NA,"1.729","Avon 20","Aug18"
"323","0.89139450","0.9360370","0.9131705",NA,"1.679","Avon 21","Aug18"
"324","0.81415241","0.8549265","0.8340414",NA,"1.561","Avon 22","Aug18"
"325","0.88387766","0.9281437","0.9054700",NA,"1.727","Avon 23","Aug18"
"326","0.84655262","0.8889494","0.8672331",NA,"1.633","Avon 24","Aug18"
"327","0.2936615","0.3049720","0.2992099","5.00","0.440","Standard 5","Aug256"
"328","0.4140256","0.4299720","0.4218482","2.00","0.627","Standard 4","Aug256"
"329","0.5940661","0.6169468","0.6052903","1.00","0.947","Standard 3","Aug256"
"330","0.6793661","0.7055322","0.6922020","0.40","0.983","Standard 2","Aug256"
"331","0.8975051","0.9320728","0.9144624","0.15","1.319","Standard 1","Aug256"
"332","0.9814565","1.0192577","1.0000000","0.00","1.483","Standard 0","Aug256"
"333","0.5020229","0.5213585","0.5115081",NA,"0.732","Positive Control","Aug256"
"334","0.9474039","0.9838936","0.9653040",NA,"1.431","PIB F","Aug256"
"335","0.2936615","0.3049720","0.2992099","5.00","0.431","Standard 5","Aug256"
"336","0.4140256","0.4299720","0.4218482","2.00","0.601","Standard 4","Aug256"
"337","0.5940661","0.6169468","0.6052903","1.00","0.815","Standard 3","Aug256"
"338","0.6793661","0.7055322","0.6922020","0.40","1.032","Standard 2","Aug256"
"339","0.8975051","0.9320728","0.9144624","0.15","1.343","Standard 1","Aug256"
"340","0.9814565","1.0192577","1.0000000","0.00","1.428","Standard 0","Aug256"
"341","0.5020229","0.5213585","0.5115081",NA,"0.757","Positive Control","Aug256"
"342","0.9474039","0.9838936","0.9653040",NA,"1.379","PIB F","Aug256"
"343","0.7572488","0.7864146","0.7715562",NA,"1.243","PIB R","Aug256"
